dataset,metric,model,value
car_parts_without_missing,time,amazon/chronos-t5-mini,5.296062231063843
m3_other,mase,amazon/chronos-t5-mini,0.8685390767694889
m3_other,scaled_crps,amazon/chronos-t5-mini,0.03219085802411411
m3_other,smape,amazon/chronos-t5-mini,0.025483258111380983
m3_other,time,amazon/chronos-t5-mini,1.6094214916229248
ercot,mase,amazon/chronos-t5-mini,0.5850894972681999
ercot,scaled_crps,amazon/chronos-t5-mini,0.01577337693729544
ercot,smape,amazon/chronos-t5-mini,0.01207868818892166
ercot,time,amazon/chronos-t5-mini,1.9792068004608154
ett_small_1h,mase,amazon/chronos-t5-mini,0.8046593602214541
ett_small_1h,scaled_crps,amazon/chronos-t5-mini,0.08515612466055023
ett_small_1h,smape,amazon/chronos-t5-mini,0.09997383278927632
ett_small_1h,time,amazon/chronos-t5-mini,1.6876647472381592
nn5_weekly,mase,amazon/chronos-t5-mini,0.9325117726583738
nn5_weekly,scaled_crps,amazon/chronos-t5-mini,0.07870554902730192
nn5_weekly,smape,amazon/chronos-t5-mini,0.0575413614142317
nn5_weekly,time,amazon/chronos-t5-mini,1.515324354171753
m1_monthly,mase,amazon/chronos-t5-mini,1.1933288168602862
m1_monthly,scaled_crps,amazon/chronos-t5-mini,0.11119633828624381
m1_monthly,smape,amazon/chronos-t5-mini,0.08159590777703311
m1_monthly,time,amazon/chronos-t5-mini,4.16538143157959
hospital,mase,amazon/chronos-t5-mini,0.815132363231894
hospital,scaled_crps,amazon/chronos-t5-mini,0.060518674544799964
hospital,smape,amazon/chronos-t5-mini,0.09314896348824984
hospital,time,amazon/chronos-t5-mini,2.8519399166107178
m1_yearly,mase,amazon/chronos-t5-mini,5.160108309589038
m1_yearly,scaled_crps,amazon/chronos-t5-mini,0.11901888299848891
m1_yearly,smape,amazon/chronos-t5-mini,0.12864778351967443
m1_yearly,time,amazon/chronos-t5-mini,1.4705698490142822
ett_small_15min,mase,amazon/chronos-t5-mini,0.7388977408409119
ett_small_15min,scaled_crps,amazon/chronos-t5-mini,0.08763426541064262
ett_small_15min,smape,amazon/chronos-t5-mini,0.11552477694515671
ett_small_15min,time,amazon/chronos-t5-mini,2.0501742362976074
m5,mase,amazon/chronos-t5-mini,1.4319284483412258
m5,scaled_crps,amazon/chronos-t5-mini,0.5324005327438912
m5,smape,amazon/chronos-t5-mini,0.8272297996414288
m5,time,amazon/chronos-t5-mini,662.4902079105377
traffic,mase,amazon/chronos-t5-mini,0.6403378920495648
traffic,scaled_crps,amazon/chronos-t5-mini,0.12013340446323793
traffic,smape,amazon/chronos-t5-mini,0.08248878742153314
traffic,time,amazon/chronos-t5-mini,18.897883415222168
exchange_rate,mase,amazon/chronos-t5-mini,2.118411086499691
exchange_rate,scaled_crps,amazon/chronos-t5-mini,0.010474584188422334
exchange_rate,smape,amazon/chronos-t5-mini,0.00681871005508583
exchange_rate,time,amazon/chronos-t5-mini,1.554105520248413
m5,mase,SeasonalNaive,1.8674323558807373
m5,scaled_crps,SeasonalNaive,1.4574002027511597
m5,smape,SeasonalNaive,0.4035714268684387
m5,time,SeasonalNaive,27.139254808425903
dominick,mase,SeasonalNaive,0.8275396823883057
dominick,scaled_crps,SeasonalNaive,2.210458993911743
dominick,smape,SeasonalNaive,0.16016362607479095
dominick,time,SeasonalNaive,11.452350616455078
m1_monthly,mase,SeasonalNaive,1.314461588859558
m1_monthly,scaled_crps,SeasonalNaive,0.19290146231651306
m1_monthly,smape,SeasonalNaive,0.086546890437603
m1_monthly,time,SeasonalNaive,0.8424420356750488
ett_small_1h,mase,SeasonalNaive,0.9316202402114868
ett_small_1h,scaled_crps,SeasonalNaive,0.15305326879024506
ett_small_1h,smape,SeasonalNaive,0.10259586572647095
ett_small_1h,time,SeasonalNaive,0.18256402015686035
m1_yearly,mase,SeasonalNaive,4.894322395324707
m1_yearly,scaled_crps,SeasonalNaive,0.14966361224651337
m1_yearly,smape,SeasonalNaive,0.11216119676828384
m1_yearly,time,SeasonalNaive,0.8540983200073242
ercot,mase,SeasonalNaive,0.7613354921340942
ercot,scaled_crps,SeasonalNaive,0.03946121409535408
ercot,smape,SeasonalNaive,0.015630709007382393
ercot,time,SeasonalNaive,0.3749725818634033
traffic,mase,SeasonalNaive,1.7853235006332397
traffic,scaled_crps,SeasonalNaive,0.41143593192100525
traffic,smape,SeasonalNaive,0.24385300278663635
traffic,time,SeasonalNaive,2.626573324203491
tourism_yearly,mase,SeasonalNaive,3.5520098209381104
tourism_yearly,scaled_crps,SeasonalNaive,0.15974722802639008
tourism_yearly,smape,SeasonalNaive,0.21083326637744904
tourism_yearly,time,SeasonalNaive,0.8423950672149658
australian_electricity_demand,mase,SeasonalNaive,1.3403993844985962
australian_electricity_demand,scaled_crps,SeasonalNaive,0.09814662486314774
australian_electricity_demand,smape,SeasonalNaive,0.05881521850824356
australian_electricity_demand,time,SeasonalNaive,0.33334898948669434
hospital,mase,SeasonalNaive,0.9205278754234314
hospital,scaled_crps,SeasonalNaive,0.08269508928060532
hospital,smape,SeasonalNaive,0.1051267683506012
hospital,time,SeasonalNaive,0.8803820610046387
m3_quarterly,mase,SeasonalNaive,1.4253438711166382
m3_quarterly,scaled_crps,SeasonalNaive,0.09558308124542236
m3_quarterly,smape,SeasonalNaive,0.05532565340399742
m3_quarterly,time,SeasonalNaive,0.8765661716461182
car_parts_without_missing,mase,SeasonalNaive,1.1201380491256714
car_parts_without_missing,scaled_crps,SeasonalNaive,2.225259304046631
car_parts_without_missing,smape,SeasonalNaive,0.310185045003891
car_parts_without_missing,time,SeasonalNaive,0.9439601898193359
m4_quarterly,mase,SeasonalNaive,1.6022472381591797
m4_quarterly,scaled_crps,SeasonalNaive,0.11284030973911285
m4_quarterly,smape,SeasonalNaive,0.06260683387517929
m4_quarterly,time,SeasonalNaive,1.4910767078399658
tourism_quarterly,mase,SeasonalNaive,1.6989893913269043
tourism_quarterly,scaled_crps,SeasonalNaive,0.10142967849969864
tourism_quarterly,smape,SeasonalNaive,0.08304859697818756
tourism_quarterly,time,SeasonalNaive,0.8428304195404053
covid_deaths,mase,SeasonalNaive,7.7623796463012695
covid_deaths,scaled_crps,SeasonalNaive,0.11604983359575272
covid_deaths,smape,SeasonalNaive,0.09313273429870605
covid_deaths,time,SeasonalNaive,0.8832664489746094
tourism_monthly,mase,SeasonalNaive,1.6309399604797363
tourism_monthly,scaled_crps,SeasonalNaive,0.11447972804307938
